dates,ticker,title,link
24-03-05,A005490,"포스코그룹, 2차전지 소재 현재와 미래 조명…6~8일 '인터배터리 2...",https://finance.naver.com/item/news_read.naver?article_id=0000865578&office_id=088&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, '인터배터리 2024' 참가…이차전지 소재사업 소개",https://finance.naver.com/item/news_read.naver?article_id=0001136030&office_id=055&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, 국내 최대 배터리 전시회에 총 출동 ""2차전지 소재 공급...",https://finance.naver.com/item/news_read.naver?article_id=0004308391&office_id=011&code=005490&page=4&sm=
24-03-05,A005490,"[인터배터리 2024] 포스코홀딩스, 그룹사 전체 배터리 소재 밸류체...",https://finance.naver.com/item/news_read.naver?article_id=0002168119&office_id=138&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, 인터배터리 2024서 2차전지 소재사업 선봬",https://finance.naver.com/item/news_read.naver?article_id=0000986319&office_id=417&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, '인터배터리 2024'서 배터리소재 풀 밸류체인 공개",https://finance.naver.com/item/news_read.naver?article_id=0002805873&office_id=119&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, '인터배터리 2024' 참가…이차전지 소재사업 소개",https://finance.naver.com/item/news_read.naver?article_id=0014542691&office_id=001&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, 인터배터리 첫 참가...""풀 밸류체인 소개""",https://finance.naver.com/item/news_read.naver?article_id=0005151153&office_id=014&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, '인터배터리 2024' 참가",https://finance.naver.com/item/news_read.naver?article_id=0014542589&office_id=001&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, ‘인터배터리’서 이차전지소재 밸류체인 소개",https://finance.naver.com/item/news_read.naver?article_id=0005685418&office_id=018&code=005490&page=4&sm=
24-03-05,A005490,장인화 포스코홀딩스 회장 내정에 포항지역서 찬반 엇갈려,https://finance.naver.com/item/news_read.naver?article_id=0014544053&office_id=001&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, ‘인터배터리 2024’에서 이차전지소재사업 선보인다",https://finance.naver.com/item/news_read.naver?article_id=0001110466&office_id=382&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, '인터배터리 2024' 참가…이차전지소재사업 A to Z",https://finance.naver.com/item/news_read.naver?article_id=0000271248&office_id=629&code=005490&page=4&sm=
24-03-05,A005490,"포스코그룹, 인터배터리서 이차전지소재 전 가치사슬 소개",https://finance.naver.com/item/news_read.naver?article_id=0005387785&office_id=277&code=005490&page=4&sm=
24-03-05,A005490,삼성SDI ‘전고체 배터리’·포스코그룹 ‘풀 밸류 체인’… 배터리 전시...,https://finance.naver.com/item/news_read.naver?article_id=0002624731&office_id=021&code=005490&page=4&sm=
